idx,interest1,interest2,interest3,impressions,im_std,clicks,spent,total_conversion,approved_conversion
27,16,19,20,19113.0,-0.5359315863062574,4,5.5200001,1.0,0.0
28,16,21,21,10976.0,-0.561948158759275,2,1.690000057,1.0,1.0
29,16,19,20,2861.0,-0.5878943902274127,0,0.0,1.0,0.0
30,15,18,20,1398.0,-0.592572065721915,0,0.0,1.0,1.0
31,16,18,20,23817.0,-0.5208914048119726,7,8.470000148,1.0,1.0
32,16,22,17,47224.0,-0.4460517942174314,12,15.82000017,1.0,0.0
33,24,26,27,2283.0,-0.589742439739253,1,1.470000029,1.0,0.0
34,21,26,24,2182.0,-0.5900653688062009,1,1.529999971,1.0,1.0
35,16,19,19,2654.0,-0.5885562349487812,0,0.0,1.0,1.0
36,16,21,20,57665.0,-0.4126686022570091,14,18.06999969,1.0,1.0
37,32,37,38,3091.0,-0.5871590072036701,1,1.610000014,1.0,1.0
38,15,19,16,5014.0,-0.5810105656616825,1,1.190000057,1.0,0.0
39,16,19,20,38726.0,-0.47322259828597546,7,9.220000267,1.0,0.0
40,18,24,22,1473.0,-0.592332266909825,0,0.0,1.0,0.0
41,27,33,32,1186.0,-0.593249897030756,0,0.0,1.0,0.0
42,15,19,17,5369.0,-0.5798755179511232,1,1.50999999,1.0,0.0
43,29,33,31,22221.0,-0.5259943235332478,7,9.430000067,1.0,1.0
44,63,64,68,1185.0,-0.5932530943482506,0,0.0,1.0,0.0
45,65,70,68,13019.0,-0.5554160391179433,5,6.960000038,1.0,0.0
46,25,29,26,2508.0,-0.589023043302983,1,1.220000029,1.0,0.0
47,27,31,29,5864.0,-0.5782928457913292,2,2.799999952,1.0,1.0
48,20,26,23,2783.0,-0.5881437809919864,1,1.600000024,1.0,0.0
49,15,18,20,3812.0,-0.5848537412901116,1,1.129999995,2.0,1.0
50,10,16,11,11199.0,-0.561235156957994,4,5.730000019,1.0,1.0
51,19,25,23,292.0,-0.5961082988708688,0,0.0,1.0,0.0
52,63,67,65,17572.0,-0.5408586525653332,7,9.379999995,1.0,0.0
53,10,13,11,1448.0,-0.5924121998471883,0,0.0,1.0,1.0
54,10,16,14,1772.0,-0.5913762689789596,0,0.0,1.0,1.0
55,10,16,13,13329.0,-0.554424870694638,4,5.629999995,1.0,1.0
56,15,19,17,13659.0,-0.553369755921442,3,3.840000033,1.0,0.0
57,21,23,24,739.0,-0.5946790979508124,0,0.0,1.0,1.0
58,25,30,27,605.0,-0.5951075384950799,0,0.0,1.0,0.0
59,26,32,29,1030.0,-0.5937486785599032,0,0.0,1.0,0.0
60,29,32,35,5374.0,-0.5798595313636505,1,1.039999962,4.0,0.0
61,36,38,38,790.0,-0.5945160347585913,0,0.0,1.0,1.0
62,36,38,38,962.0,-0.5939660961495316,0,0.0,1.0,0.0
63,10,11,16,4423.0,-0.5829001803009517,1,1.460000038,1.0,1.0
64,16,19,19,12382.0,-0.5574527303619611,2,2.839999914,1.0,1.0
65,20,25,24,2938.0,-0.5876481967803336,1,1.350000024,1.0,1.0
66,23,24,27,239.0,-0.596277756698079,0,0.0,1.0,0.0
67,26,27,28,591.0,-0.5951523009400034,0,0.0,1.0,0.0
68,27,29,32,10332.0,-0.5640072312257544,4,5.75,1.0,0.0
69,28,29,31,8259.0,-0.570635270391922,3,3.980000019,1.0,0.0
70,29,35,31,12158.0,-0.5581689294807365,3,4.449999928,1.0,0.0
71,29,33,33,7709.0,-0.5723937950139152,2,1.320000052,2.0,0.0
72,36,37,41,834.0,-0.5943753527888318,0,0.0,1.0,0.0
73,18,22,23,1299.0,-0.5928886001538738,0,0.0,2.0,0.0
74,19,24,20,371.0,-0.5958557107888007,0,0.0,1.0,0.0
75,29,30,35,10466.0,-0.5635787906814869,3,4.090000033,1.0,0.0
76,31,37,33,839.0,-0.5943593662013591,0,0.0,1.0,0.0
77,10,13,13,5576.0,-0.5792136732297548,1,1.529999971,1.0,1.0
78,16,19,17,4010.0,-0.5842206724261939,0,0.0,1.0,0.0
79,16,22,17,39337.0,-0.47126903729681563,7,10.03000009,1.0,1.0
80,18,20,20,1635.0,-0.5918143014757106,0,0.0,1.0,0.0
81,18,19,21,1631.0,-0.5918270907456887,0,0.0,1.0,0.0
82,26,30,29,13479.0,-0.553945273070458,3,4.25,1.0,0.0
83,27,33,32,57022.0,-0.414724477405994,13,20.29000032,3.0,3.0
84,27,28,32,5453.0,-0.5796069432815824,1,1.389999986,1.0,1.0
85,29,32,31,11803.0,-0.5593039771912959,3,4.440000057,1.0,0.0
86,31,32,34,4259.0,-0.5834245403700552,1,1.570000052,1.0,1.0
87,64,70,68,1554.0,-0.5920732841927677,0,0.0,1.0,0.0
88,64,69,67,5323.0,-0.5800225945558717,1,1.289999962,1.0,1.0
89,10,11,12,5024.0,-0.5809785924867372,1,1.409999967,1.0,1.0
90,16,19,22,104648.0,-0.2624490344113505,24,33.33000004,4.0,2.0
91,22,25,27,8504.0,-0.5698519276057613,3,3.340000093,1.0,1.0
92,27,32,32,20277.0,-0.5322099087426205,6,8.050000072,1.0,0.0
93,29,34,30,12403.0,-0.5573855866945758,4,5.210000038,1.0,1.0
94,32,33,34,498.0,-0.5954496514669949,0,0.0,1.0,1.0
95,36,40,40,652.0,-0.5949572645728368,0,0.0,0.0,0.0
96,63,65,69,1357.0,-0.5927031557391909,0,0.0,1.0,1.0
97,64,65,68,1393.0,-0.5925880523093876,0,0.0,1.0,0.0
98,7,10,12,648.0,-0.594970053842815,0,0.0,1.0,0.0
99,21,26,25,708.0,-0.594778214793143,0,0.0,1.0,1.0
100,26,27,31,6907.0,-0.574958043644531,2,2.349999964,1.0,0.0
101,27,28,30,39035.0,-0.4722346271801647,13,19.32999957,1.0,0.0
102,28,30,31,926.0,-0.5940811995793347,0,0.0,1.0,0.0
103,63,66,67,4412.0,-0.5829353507933915,1,1.450000048,1.0,0.0
104,64,65,66,9965.0,-0.5651806467462481,3,4.050000072,1.0,0.0
105,10,16,11,73634.0,-0.36161063918680664,23,32.97999978,1.0,0.0
106,15,17,17,69708.0,-0.3741633076703444,20,31.28999949,1.0,0.0
107,19,25,21,530.0,-0.5953473373071699,0,0.0,1.0,0.0
108,20,24,25,14257.0,-0.5514577600597111,6,8.789999962,1.0,0.0
109,27,30,30,20362.0,-0.5319381367555852,5,9.119999886,1.0,1.0
110,27,29,33,12215.0,-0.5579866823835481,4,6.26000011,1.0,0.0
111,29,31,32,85412.0,-0.32395263373619326,28,38.63999999,2.0,1.0
112,2,6,8,2338.0,-0.5895665872770537,1,0.239999995,1.0,0.0
113,15,16,20,2522.0,-0.5889782808580595,0,0.0,1.0,0.0
114,16,17,17,3587.0,-0.5855731377263815,0,0.0,1.0,0.0
115,27,30,28,1273.0,-0.5929717304087316,0,0.0,1.0,0.0
116,28,29,29,3891.0,-0.5846011532080434,1,1.090000033,1.0,0.0
117,29,34,34,1888.0,-0.5910053801495937,0,0.0,1.0,0.0
118,29,32,33,1895.0,-0.5909829989271319,0,0.0,1.0,0.0
119,7,10,11,715.0,-0.5947558335706812,0,0.0,1.0,0.0
120,16,19,18,11199.0,-0.561235156957994,2,2.680000067,1.0,0.0
121,63,64,66,5676.0,-0.5788939414803015,2,3.00999999,1.0,0.0
122,10,11,11,1415.0,-0.5925177113245079,0,0.0,1.0,0.0
123,30,34,33,2148.0,-0.590174077601015,1,1.580000043,1.0,1.0
124,16,22,17,45401.0,-0.4518805040099656,10,14.06000042,1.0,0.0
125,18,23,20,7478.0,-0.5731323753551525,2,2.900000095,1.0,1.0
126,18,19,24,4919.0,-0.5813143108236631,1,1.590000033,1.0,0.0
127,20,21,24,533.0,-0.5953377453546863,0,0.0,1.0,1.0
128,29,33,33,1447.0,-0.5924153971646828,0,0.0,1.0,1.0
129,16,21,22,17553.0,-0.5409194015977293,3,4.590000153,1.0,0.0
130,20,26,24,3343.0,-0.5863532831950476,1,0.540000021,1.0,0.0
131,23,29,28,523.0,-0.5953697185296316,0,0.0,1.0,0.0
132,26,27,31,1873.0,-0.5910533399120117,0,0.0,1.0,0.0
133,27,29,32,34740.0,-0.4859671058191853,7,13.41000009,1.0,1.0
134,32,37,36,658.0,-0.5949380806678696,0,0.0,1.0,0.0
135,64,70,68,1539.0,-0.5921212439551857,0,0.0,1.0,0.0
136,31,36,36,3010.0,-0.5874179899207272,1,0.860000014,1.0,1.0
137,10,16,12,27081.0,-0.5104553605098159,9,10.77000046,1.0,1.0
138,16,22,22,20233.0,-0.53235059071238,4,5.590000153,3.0,0.0
139,16,17,19,147159.0,-0.12652787040124483,36,58.16000044,3.0,1.0
140,18,20,24,21664.0,-0.5277752293777028,7,10.61999977,1.0,1.0
141,19,21,20,9112.0,-0.567907958569085,4,5.460000038,1.0,1.0
142,21,23,24,542.0,-0.5953089694972354,0,0.0,1.0,0.0
143,30,34,33,402.0,-0.5957565939464702,0,0.0,1.0,1.0
144,64,70,66,1338.0,-0.592763904771587,0,0.0,1.0,0.0
145,10,16,12,46150.0,-0.44948571320656017,15,20.17999983,1.0,1.0
146,16,22,20,493821.0,0.9818606068886624,116,176.3799977,4.0,1.0
147,16,17,21,92011.0,-0.3028535355897679,27,34.39000046,2.0,1.0
148,18,23,24,12956.0,-0.555617470120099,4,5.49000001,1.0,1.0
149,19,20,23,529.0,-0.5953505346246645,0,0.0,1.0,0.0
150,24,26,30,944.0,-0.5940236478644331,1,1.419999957,1.0,0.0
151,26,30,27,111090.0,-0.24185191511156687,38,51.97000027,5.0,1.0
152,10,16,14,7208.0,-0.5739956510786764,2,3.190000057,1.0,0.0
153,10,12,11,1746.0,-0.5914593992338174,0,0.0,1.0,0.0
154,15,17,16,2474.0,-0.5891317520977971,0,0.0,2.0,2.0
155,16,22,20,12489.0,-0.557110617390046,2,1.960000038,1.0,0.0
156,16,18,18,8032.0,-0.571361061463181,1,0.600000024,2.0,0.0
157,21,24,24,472.0,-0.5955327817218529,0,0.0,1.0,1.0
158,64,68,65,792.0,-0.5945096401236022,0,0.0,1.0,1.0
159,15,16,18,4607.0,-0.5823118738819576,1,1.149999976,1.0,1.0
160,16,17,21,13355.0,-0.5543417404397801,2,3.180000067,1.0,1.0
161,16,17,19,2936.0,-0.5876545914153227,0,0.0,1.0,0.0
162,22,25,25,2793.0,-0.588111807817041,1,0.980000019,1.0,1.0
163,28,29,30,1032.0,-0.5937422839249141,0,0.0,1.0,0.0
164,29,35,33,1662.0,-0.5917279739033582,0,0.0,1.0,1.0
165,2,7,6,4016.0,-0.5842014885212268,2,1.480000049,1.0,1.0
166,16,20,17,14843.0,-0.5495841320079146,3,2.939999938,1.0,1.0
167,10,14,13,9674.0,-0.5661110661371572,3,4.600000024,1.0,1.0
168,16,21,17,12186.0,-0.5580794045908896,2,2.669999957,1.0,0.0
169,20,22,21,673.0,-0.5948901209054517,0,0.0,1.0,0.0
170,21,27,23,370.0,-0.5958589081062953,0,0.0,1.0,1.0
171,26,30,29,450.0,-0.5956031227067325,0,0.0,1.0,1.0
172,10,12,14,2077.0,-0.5904010871431269,0,0.0,1.0,1.0
173,10,14,13,31393.0,-0.49666852747338824,8,10.96000051,1.0,1.0
174,15,21,18,8410.0,-0.5701524754502474,2,2.359999895,1.0,1.0
175,16,21,20,25884.0,-0.5142825495507722,5,7.350000143,1.0,0.0
176,21,24,23,608.0,-0.5950979465425963,0,0.0,1.0,1.0
177,22,24,24,28488.0,-0.5059567347950076,10,9.340000033,1.0,0.0
178,26,32,32,10126.0,-0.5646658786296282,3,4.619999886,1.0,0.0
179,27,32,33,22572.0,-0.5248720650926666,5,8.5,1.0,0.0
180,27,30,33,1955.0,-0.5907911598774599,0,0.0,1.0,1.0
181,30,36,31,493.0,-0.5954656380544676,0,0.0,1.0,0.0
182,63,69,69,1491.0,-0.5922747151949234,0,0.0,1.0,1.0
183,64,66,66,1495.0,-0.5922619259249452,0,0.0,1.0,1.0
184,21,27,24,512.0,-0.5954048890220714,0,0.0,0.0,0.0
185,25,31,27,4868.0,-0.5814773740158844,2,2.420000076,1.0,0.0
186,26,27,32,6585.0,-0.5759875798777707,2,2.950000048,1.0,0.0
187,27,29,28,10164.0,-0.5645443805648359,2,3.720000029,1.0,1.0
188,29,31,35,11182.0,-0.5612895113554011,4,4.449999809,1.0,0.0
189,63,69,64,1238.0,-0.5930836365210403,0,0.0,1.0,0.0
190,16,19,18,34127.0,-0.4879270614433342,8,13.07000017,1.0,0.0
191,16,22,19,29466.0,-0.5028297582853539,7,10.84999967,2.0,0.0
192,16,18,21,38759.0,-0.4731170868086559,9,10.84999967,1.0,0.0
193,16,17,19,41720.0,-0.46364982970734275,10,12.06000006,1.0,1.0
194,15,16,17,18602.0,-0.5375654155459638,5,8.860000134,1.0,0.0
195,16,17,20,83929.0,-0.3286942555805862,21,27.72999954,4.0,1.0
196,16,18,21,25194.0,-0.5164886986220003,6,7.349999905,1.0,0.0
197,16,22,18,78627.0,-0.3456464329366018,19,26.53000045,1.0,0.0
198,16,18,19,102695.0,-0.268693395478174,25,39.42999983,3.0,0.0
199,27,32,31,82827.0,-0.33221769945956187,24,47.93000031,3.0,0.0
200,27,31,32,9240.0,-0.5674987019297847,3,6.039999962,1.0,0.0
201,29,32,33,7706.0,-0.5724033869663988,2,2.369999886,1.0,0.0
202,31,34,32,7821.0,-0.5720356954545275,4,6.340000153,1.0,1.0
203,64,67,68,1363.0,-0.5926839718342236,0,0.0,1.0,1.0
204,15,16,19,3569.0,-0.5856306894412832,0,0.0,1.0,1.0
205,16,21,20,119063.0,-0.21635970272765276,34,53.21999949,1.0,0.0
206,16,17,18,99078.0,-0.28025809285590103,23,35.79999948,2.0,0.0
207,16,19,20,452398.0,0.849418124312609,114,180.2200012,1.0,0.0
208,10,12,16,191223.0,0.014358727677871065,48,76.41000056,1.0,0.0
209,10,15,14,22216.0,-0.5260103101207205,6,9.549999952,1.0,0.0
210,10,12,11,48291.0,-0.4426402564507644,11,18.01999998,1.0,0.0
211,63,66,67,27559.0,-0.508927042747429,8,13.37,1.0,0.0
212,25,27,27,10194.0,-0.5644484610399999,4,4.590000033,2.0,1.0
213,23,27,29,1168.0,-0.5933074487456577,0,0.0,1.0,1.0
214,21,25,22,40126.0,-0.46874635379362883,16,25.86000001,1.0,0.0
215,19,22,20,3659.0,-0.5853429308667751,1,0.49000001,1.0,1.0
216,10,14,16,3200.0,-0.5868104995967659,0,0.0,1.0,0.0
217,29,30,31,7550.0,-0.572902168495546,1,1.679999948,1.0,1.0
218,28,33,29,45397.0,-0.45189329327994376,15,25.41999936,1.0,1.0
219,16,22,22,23086.0,-0.5232286439004765,2,3.310000062,1.0,1.0
220,16,21,20,16425.0,-0.5445259757315629,1,1.549999952,1.0,0.0
221,16,17,18,43756.0,-0.45714009128847294,5,5.439999938,0.0,0.0
222,16,22,17,9982.0,-0.565126292348841,0,0.0,1.0,0.0
223,26,31,28,175389.0,-0.036267597530569406,55,81.60999787,1.0,0.0
224,15,16,16,7015.0,-0.5746127333551213,0,0.0,1.0,0.0
225,65,68,68,12706.0,-0.5564167994937322,3,4.98999989,1.0,1.0
226,65,71,67,70702.0,-0.3709851740807783,20,31.7099998,1.0,0.0
227,63,64,68,63927.0,-0.3926470001062415,16,25.52000046,2.0,0.0
228,63,69,67,15105.0,-0.5487464348243468,3,4.25999999,1.0,0.0
229,15,16,19,8774.0,-0.5689886518822372,1,1.830000043,1.0,0.0
230,16,18,22,14459.0,-0.5508119019258154,1,1.389999986,1.0,0.0
231,16,17,18,21596.0,-0.5279926469673312,2,2.809999943,1.0,0.0
232,16,21,17,66765.0,-0.38357301305675595,8,11.04999971,1.0,0.0
233,7,9,13,1369.0,-0.5926647879292565,0,0.0,1.0,1.0
234,10,13,14,26910.0,-0.5110021018013811,5,7.229999781,1.0,0.0
235,2,3,6,506.0,-0.5954240729270387,0,0.0,1.0,0.0
236,63,66,68,11988.0,-0.5587124734548072,3,4.269999862,1.0,0.0
237,64,69,65,19353.0,-0.5351642301075693,6,9.4799999,1.0,1.0
238,29,35,33,10960.0,-0.5619993158391874,2,2.890000105,1.0,0.0
239,15,18,18,33491.0,-0.4899605553698574,6,10.56999969,2.0,1.0
240,15,21,20,20083.0,-0.53283018833656,2,3.200000048,2.0,1.0
241,16,19,22,8817.0,-0.5688511672299723,0,0.0,1.0,1.0
242,16,18,22,15466.0,-0.5475922032088203,1,0.970000029,1.0,0.0
243,16,18,22,27072.0,-0.5104841363672667,3,4.370000005,1.0,0.0
244,16,19,22,15753.0,-0.5466745730878892,1,0.569999993,1.0,1.0
245,19,21,24,3523.0,-0.5857777660460317,1,1.809999943,1.0,1.0
246,16,22,17,7745.0,-0.572278691584112,0,0.0,1.0,0.0
247,16,17,21,18709.0,-0.5372233025740488,2,3.319999933,1.0,0.0
248,16,20,20,8022.0,-0.5713930346381263,0,0.0,2.0,1.0
249,10,11,12,7966.0,-0.5715720844178201,1,1.179999948,1.0,1.0
250,10,14,13,4132.0,-0.5838305996918609,0,0.0,1.0,1.0
251,10,14,16,12785.0,-0.5561642114116642,3,4.730000019,2.0,1.0
252,10,16,16,8213.0,-0.5707823469966704,1,1.379999995,1.0,1.0
253,2,4,7,545.0,-0.5952993775447519,0,0.0,1.0,1.0
254,23,26,27,2479.0,-0.5891157655103245,1,1.25999999,1.0,0.0
255,2,4,3,3812.0,-0.5848537412901116,2,3.049999952,1.0,0.0
256,21,23,26,1609.0,-0.5918974317305684,0,0.0,1.0,0.0
257,20,22,26,10257.0,-0.5642470300378444,3,3.579999924,1.0,1.0
258,10,14,16,12356.0,-0.5575358606168189,4,6.279999971,1.0,0.0
259,18,23,20,7410.0,-0.5733497929447807,1,1.210000038,1.0,0.0
260,16,20,19,140098.0,-0.14910412923014454,28,46.63000011,1.0,0.0
261,16,18,20,107021.0,-0.2548617999968229,20,34.44000012,1.0,0.0
262,36,38,40,2797.0,-0.5880990185470629,1,1.289999962,1.0,0.0
263,7,9,12,16461.0,-0.5444108723017597,6,9.21999979,1.0,0.0
264,63,66,69,17488.0,-0.5411272272348739,5,7.719999909,1.0,0.0
265,10,11,15,9750.0,-0.5658680700075728,2,1.5,1.0,1.0
266,36,41,38,1136.0,-0.5934097629054828,0,0.0,1.0,1.0
267,63,67,67,4333.0,-0.5831879388754597,1,0.180000007,1.0,1.0
268,16,21,22,6260.0,-0.577026708063494,0,0.0,1.0,0.0
269,16,19,21,6359.0,-0.5767101736315352,0,0.0,1.0,0.0
270,63,69,65,2383.0,-0.5894227079897997,0,0.0,1.0,1.0
271,27,31,28,11292.0,-0.5609378064310023,3,5.389999866,1.0,1.0
272,64,70,69,12729.0,-0.556343261191358,4,5.779999852,1.0,0.0
273,64,69,70,1898.0,-0.5909734069746483,0,0.0,1.0,1.0
274,64,69,65,1882.0,-0.5910245640545608,0,0.0,1.0,1.0
275,65,66,67,2883.0,-0.587824049242533,1,0.99000001,1.0,1.0
276,7,9,10,3989.0,-0.5842878160935792,1,1.279999971,1.0,0.0
277,29,31,34,19603.0,-0.534364900733936,4,5.279999971,1.0,1.0
278,24,26,27,3047.0,-0.5872996891734296,1,1.379999995,1.0,0.0
279,24,27,30,3029.0,-0.5873572408883312,1,1.049999952,1.0,1.0
280,26,29,28,3490.0,-0.5858832775233512,1,1.340000033,1.0,1.0
281,28,32,32,2479.0,-0.5891157655103245,0,0.0,1.0,0.0
282,19,25,25,19581.0,-0.5344352417188157,7,10.42999983,2.0,0.0
283,29,34,32,19537.0,-0.5345759236885752,5,6.099999905,1.0,0.0
284,16,17,19,59433.0,-0.4070157449266742,12,19.65999949,3.0,0.0
285,16,17,19,157534.0,-0.0933557013954617,33,56.19000077,2.0,0.0
286,7,10,12,1781.0,-0.5913474931215087,0,0.0,1.0,1.0
287,16,19,19,23769.0,-0.5210448760517102,4,6.029999852,1.0,0.0
288,16,18,17,7101.0,-0.5743377640505914,0,0.0,1.0,0.0
289,64,69,68,4726.0,-0.5819313931001081,1,1.830000043,1.0,1.0
290,19,20,20,5209.0,-0.5803870887502485,1,0.959999979,2.0,0.0
291,18,23,24,13473.0,-0.5539644569754252,3,2.619999945,3.0,0.0
292,2,7,7,500.0,-0.5954432568320059,0,0.0,1.0,1.0
293,20,26,23,4616.0,-0.5822830980245067,1,1.360000014,1.0,0.0
294,31,32,33,3279.0,-0.5865579115146978,0,0.0,1.0,0.0
295,31,36,36,3288.0,-0.5865291356572471,0,0.0,1.0,0.0
296,27,29,28,14615.0,-0.5503131203966681,4,6.050000191,1.0,0.0
297,27,28,29,56615.0,-0.4160257856262691,12,19.88000035,2.0,0.0
298,26,32,31,11735.0,-0.5595213947809241,3,4.529999971,1.0,1.0
299,26,30,32,15910.0,-0.5461725942412475,5,6.779999852,1.0,0.0
300,29,33,35,11446.0,-0.5604454195368442,2,3.090000033,1.0,1.0
301,29,35,35,4595.0,-0.582350241691892,0,0.0,1.0,0.0
302,29,34,32,4871.0,-0.5814677820634008,0,0.0,1.0,0.0
303,28,32,30,3199.0,-0.5868136969142604,0,0.0,1.0,0.0
304,28,32,31,9388.0,-0.5670254989405938,2,3.140000105,1.0,0.0
305,28,31,33,17954.0,-0.5396372772824215,6,7.5400002,2.0,1.0
306,29,32,32,2755.0,-0.5882333058818333,0,0.0,1.0,0.0
307,27,31,30,8152.0,-0.570977383363837,1,0.99000001,1.0,0.0
308,27,32,28,74542.0,-0.35870747490177035,19,34.1500001,1.0,0.0
309,20,21,23,6699.0,-0.5756230856833939,2,3.090000033,1.0,0.0
310,20,25,24,11911.0,-0.5589586669018862,4,3.959999919,1.0,0.0
311,29,35,33,10090.0,-0.5647809820594314,2,2.650000095,1.0,1.0
312,32,35,36,1273.0,-0.5929717304087316,0,0.0,1.0,1.0
313,18,24,20,24188.0,-0.5197052000215008,5,8.179999828,1.0,0.0
314,31,35,33,2214.0,-0.5899630546463758,0,0.0,1.0,0.0
315,32,35,38,9735.0,-0.5659160297699908,4,4.130000114,1.0,1.0
316,30,36,36,1371.0,-0.5926583932942674,0,0.0,1.0,1.0
317,22,23,25,10750.0,-0.5626707525130394,4,5.389999866,1.0,0.0
318,29,33,35,7629.0,-0.5726495804134779,1,0.720000029,1.0,1.0
319,29,35,30,4608.0,-0.5823086765644631,0,0.0,1.0,0.0
320,29,31,30,3732.0,-0.5851095266896742,0,0.0,1.0,0.0
321,28,32,32,7453.0,-0.5732123082925158,1,1.679999948,1.0,1.0
322,64,70,67,41785.0,-0.4634420040701981,14,19.10000038,1.0,0.0
323,27,32,30,8077.0,-0.571217182175927,2,3.579999924,1.0,1.0
324,63,65,65,5602.0,-0.579130542974897,1,1.580000043,1.0,0.0
325,26,29,29,6184.0,-0.5772697041930785,2,2.75,1.0,1.0
326,26,28,29,1738.0,-0.5914849777737736,0,0.0,1.0,0.0
327,27,33,28,112460.0,-0.23747159014405622,25,41.29000068,1.0,0.0
328,15,21,21,4414.0,-0.5829289561584025,0,0.0,1.0,0.0
329,30,35,36,14670.0,-0.5501372679344688,7,9.410000324,1.0,0.0
330,64,66,69,33144.0,-0.49107002454046045,9,13.40999985,1.0,0.0
331,64,68,70,4397.0,-0.5829833105558095,1,0.949999988,1.0,0.0
332,65,68,69,1006.0,-0.5938254141797721,0,0.0,1.0,0.0
333,10,13,16,89527.0,-0.3107956722461887,24,32.28999996,1.0,0.0
334,15,18,16,2459.0,-0.5891797118602151,0,0.0,1.0,0.0
335,15,20,18,7116.0,-0.5742898042881734,2,1.730000019,1.0,1.0
336,15,18,17,8613.0,-0.5695034199988571,1,0.889999986,2.0,0.0
337,16,19,18,9730.0,-0.5659320163574634,1,1.379999995,1.0,0.0
338,16,20,20,51816.0,-0.4313697122825344,8,10.2299999,2.0,1.0
339,16,21,20,27289.0,-0.509790318470953,3,4.429999828,1.0,0.0
340,29,32,33,20409.0,-0.5317878628333421,4,3.829999924,1.0,0.0
341,29,32,34,8044.0,-0.5713226936532466,1,1.110000014,1.0,0.0
342,28,32,33,15645.0,-0.5470198833772989,4,5.349999905,1.0,0.0
343,31,37,34,2466.0,-0.5891573306377534,0,0.0,2.0,2.0
344,10,14,13,11611.0,-0.5599178621502463,3,3.950000048,1.0,1.0
345,7,13,9,9375.0,-0.5670670640680228,3,4.019999981,1.0,0.0
346,32,37,34,4402.0,-0.582967323968337,1,1.330000043,1.0,1.0
347,18,23,24,8469.0,-0.5699638337180699,2,3.089999914,1.0,0.0
348,18,22,24,5823.0,-0.5784239358086051,1,1.419999957,1.0,1.0
349,10,13,16,2549.0,-0.5888919532857071,0,0.0,1.0,0.0
350,16,17,21,25817.0,-0.514496769822906,4,6.019999981,1.0,0.0
351,20,24,25,1961.0,-0.5907719759724928,0,0.0,1.0,0.0
352,22,24,25,2554.0,-0.5888759666982345,0,0.0,1.0,0.0
353,25,27,26,4971.0,-0.5811480503139475,1,1.230000019,1.0,1.0
354,23,28,27,1030.0,-0.5937486785599032,0,0.0,1.0,1.0
355,29,32,31,162341.0,-0.07798619619924006,56,77.07999969,3.0,0.0
356,29,35,34,24542.0,-0.518573349628436,7,9.329999924,1.0,0.0
357,65,69,71,2879.0,-0.5878368385125111,0,0.0,1.0,1.0
358,64,65,68,13621.0,-0.5534912539862343,3,4.090000033,1.0,0.0
359,63,65,66,6175.0,-0.5772984800505293,1,1.370000005,2.0,1.0
360,28,34,34,2963.0,-0.5875682638429703,0,0.0,1.0,0.0
361,29,33,35,9076.0,-0.5680230619988882,1,1.379999995,1.0,1.0
362,29,33,34,20941.0,-0.5300868899262504,4,5.909999967,1.0,1.0
363,10,13,13,3462.0,-0.5859728024131983,0,0.0,1.0,0.0
364,26,29,29,4073.0,-0.5840192414240384,0,0.0,1.0,1.0
